RID	GLOSS	DOCULECT	LANGUAGE_NAME	CONCEPTICON_GLOSS	CONCEPTICON_ID	VALUE	FORM	SOURCE
0	1st pl.	WanghoBugun	Bugun	WE (INCLUSIVE)	1131	kəthəa	k+ətʰə+a	Abraham
0	1st pl.	BichomBugun	Bugun	WE (INCLUSIVE)	1131	khət̪he	kʰət̪ʰe	Abraham
0	1st pl.	SingchungBugun	Bugun	WE (INCLUSIVE)	1131	kəthəa	k+ətʰə+a	Abraham
0	1st pl.	KaspiBugun	Bugun	WE (INCLUSIVE)	1131	khət̪he	kʰət̪ʰe	Abraham
0	1st pl.	NamphriBugun	Bugun	WE (INCLUSIVE)	1131	gəthəe	g+ətʰə+e	Abraham
1	1st sg. (I)	WanghoBugun	Bugun	I	1209	ko	ko	Abraham
1	1st sg. (I)	BichomBugun	Bugun	I	1209	go; gu	go	Abraham
1	1st sg. (I)	SingchungBugun	Bugun	I	1209	go	go	Abraham
1	1st sg. (I)	KaspiBugun	Bugun	I	1209	gu	gu	Abraham
1	1st sg. (I)	NamphriBugun	Bugun	I	1209	go	go	Abraham
2	2nd pl. (familiar)	WanghoBugun	Bugun	YOU	1213	nathəa	natʰəa	Abraham
2	2nd pl. (familiar)	BichomBugun	Bugun	YOU	1213	nat̪hek	nat̪ʰek	Abraham
2	2nd pl. (familiar)	SingchungBugun	Bugun	YOU	1213	nathəa	natʰəa	Abraham
2	2nd pl. (familiar)	KaspiBugun	Bugun	YOU	1213	nathe	natʰe	Abraham
2	2nd pl. (familiar)	NamphriBugun	Bugun	YOU	1213	nathəa	natʰəa	Abraham
4	2nd sg. (familiar)	WanghoBugun	Bugun	THOU	1215	no	no	Abraham
4	2nd sg. (familiar)	BichomBugun	Bugun	THOU	1215	no	no	Abraham
4	2nd sg. (familiar)	SingchungBugun	Bugun	THOU	1215	no	no	Abraham
4	2nd sg. (familiar)	KaspiBugun	Bugun	THOU	1215	no	no	Abraham
4	2nd sg. (familiar)	NamphriBugun	Bugun	THOU	1215	no	no	Abraham
8	3rd sg. (generic/male)	WanghoBugun	Bugun	HE OR SHE OR IT	262	we	we	Abraham
8	3rd sg. (generic/male)	BichomBugun	Bugun	HE OR SHE OR IT	262	uwe	uwe	Abraham
8	3rd sg. (generic/male)	SingchungBugun	Bugun	HE OR SHE OR IT	262	oe	oe	Abraham
8	3rd sg. (generic/male)	KaspiBugun	Bugun	HE OR SHE OR IT	262	thei	tʰei	Abraham
8	3rd sg. (generic/male)	NamphriBugun	Bugun	HE OR SHE OR IT	262	oe	oe	Abraham
9	above	WanghoBugun	Bugun	ABOVE	1741	lakhuŋ	lakʰuŋ	Abraham
9	above	BichomBugun	Bugun	ABOVE	1741	lakhuŋ	lakʰuŋ	Abraham
9	above	SingchungBugun	Bugun	ABOVE	1741	lakhuŋ	lakʰuŋ	Abraham
9	above	KaspiBugun	Bugun	ABOVE	1741	lakhuŋ	lakʰuŋ	Abraham
9	above	NamphriBugun	Bugun	ABOVE	1741	lakhuŋ	lakʰuŋ	Abraham
10	all	WanghoBugun	Bugun	ALL	98	dʒap	dʒap	Abraham
10	all	BichomBugun	Bugun	ALL	98	dʒap	dʒap	Abraham
10	all	SingchungBugun	Bugun	ALL	98	dʒap	dʒap	Abraham
10	all	KaspiBugun	Bugun	ALL	98	dʒap	dʒap	Abraham
10	all	NamphriBugun	Bugun	ALL	98	tham; dʒap	tʰam	Abraham
11	ant	WanghoBugun	Bugun	ANT	587	ʃiŋiŋ	ʃiŋiŋ	Abraham
11	ant	BichomBugun	Bugun	ANT	587	siiŋ	siːŋ	Abraham
11	ant	SingchungBugun	Bugun	ANT	587	ʃiŋiŋ	ʃiŋiŋ	Abraham
11	ant	KaspiBugun	Bugun	ANT	587	ʃiŋiŋ	ʃiŋiŋ	Abraham
11	ant	NamphriBugun	Bugun	ANT	587	ʃiŋiŋ	ʃiŋiŋ	Abraham
16	bad	WanghoBugun	Bugun	BAD	1292	avije	avije	Abraham
16	bad	BichomBugun	Bugun	BAD	1292	avije	avije	Abraham
16	bad	SingchungBugun	Bugun	BAD	1292	avije	avije	Abraham
16	bad	KaspiBugun	Bugun	BAD	1292	avije	avije	Abraham
16	bad	NamphriBugun	Bugun	BAD	1292	avije	avije	Abraham
17	bamboo	WanghoBugun	Bugun	BAMBOO	1927	moi	moi	Abraham
17	bamboo	BichomBugun	Bugun	BAMBOO	1927	muẽ	muẽ	Abraham
17	bamboo	SingchungBugun	Bugun	BAMBOO	1927	moi	moi	Abraham
17	bamboo	KaspiBugun	Bugun	BAMBOO	1927	mai	mai	Abraham
17	bamboo	NamphriBugun	Bugun	BAMBOO	1927	mai	mai	Abraham
21	belly	WanghoBugun	Bugun	BELLY	1251	elui	elui	Abraham
21	belly	BichomBugun	Bugun	BELLY	1251	elui	elui	Abraham
21	belly	SingchungBugun	Bugun	BELLY	1251	elui	elui	Abraham
21	belly	KaspiBugun	Bugun	BELLY	1251	lui	lui	Abraham
21	belly	NamphriBugun	Bugun	BELLY	1251	lui	lui	Abraham
22	below	WanghoBugun	Bugun	BELOW OR UNDER	1485	bətʃou	b+ə+tʃu	Abraham
22	below	BichomBugun	Bugun	BELOW OR UNDER	1485	bətʃou; ləwa	b+ə+tʃu	Abraham
22	below	SingchungBugun	Bugun	BELOW OR UNDER	1485	bətʃou	b+ə+tʃu	Abraham
22	below	KaspiBugun	Bugun	BELOW OR UNDER	1485	bətʃou	b+ə+tʃu	Abraham
22	below	NamphriBugun	Bugun	BELOW OR UNDER	1485	bətʃou	b+ə+tʃu	Abraham
24	big	WanghoBugun	Bugun	BIG	1202	ebou	e+b+u	Abraham
24	big	BichomBugun	Bugun	BIG	1202	bou	bou	Abraham
24	big	SingchungBugun	Bugun	BIG	1202	ebou	e+b+u	Abraham
24	big	KaspiBugun	Bugun	BIG	1202	bou	bou	Abraham
24	big	NamphriBugun	Bugun	BIG	1202	bou	bou	Abraham
25	bird	WanghoBugun	Bugun	BIRD	937	fua	fua	Abraham
25	bird	BichomBugun	Bugun	BIRD	937	fua	fua	Abraham
25	bird	SingchungBugun	Bugun	BIRD	937	fua	fua	Abraham
25	bird	KaspiBugun	Bugun	BIRD	937	fo	fo	Abraham
25	bird	NamphriBugun	Bugun	BIRD	937	fua	fua	Abraham
27	black	WanghoBugun	Bugun	BLACK	163	esai	esai	Abraham
27	black	BichomBugun	Bugun	BLACK	163	esai; soi	esai	Abraham
27	black	SingchungBugun	Bugun	BLACK	163	esai	esai	Abraham
27	black	KaspiBugun	Bugun	BLACK	163	soi	soi	Abraham
27	black	NamphriBugun	Bugun	BLACK	163	esui	esui	Abraham
29	blood	WanghoBugun	Bugun	BLOOD	946	efua	efu/wa	Abraham
29	blood	BichomBugun	Bugun	BLOOD	946	efua	efu/wa	Abraham
29	blood	SingchungBugun	Bugun	BLOOD	946	efua	efu/wa	Abraham
29	blood	KaspiBugun	Bugun	BLOOD	946	nəfai	n+əf+ai	Abraham
29	blood	NamphriBugun	Bugun	BLOOD	946	məfai	m+əf+ai	Abraham
32	bone	WanghoBugun	Bugun	BONE	1394	ezak	ezak	Abraham
32	bone	BichomBugun	Bugun	BONE	1394	ezeŋ	ezeŋ	Abraham
32	bone	SingchungBugun	Bugun	BONE	1394	ezeŋ	ezeŋ	Abraham
32	bone	KaspiBugun	Bugun	BONE	1394	nizeŋ	nizeŋ	Abraham
32	bone	NamphriBugun	Bugun	BONE	1394	ezeŋ	ezeŋ	Abraham
34	branch	WanghoBugun	Bugun	BRANCH	1531	phoŋ	pʰoŋ	Abraham
