ID	DOCULECT	CONCEPT	CONCEPTICON_GLOSS	PARAMETER_ID	CONCEPTICON_ID	VALUE	FORM	SOURCE	SEGMENTS
17	DirangTshangla	101_ifirstpersonsingular	I [first person singular]	101_ifirstpersonsingular	1209	ʥaŋ	dʒaŋ	TB	dʒ a ŋ
18	DirangTshangla	103_inside	inside	103_inside	1606	naŋ	naŋ	TB	n a ŋ
145	DirangTshangla	104_tokill	to kill	104_tokill	1417	ɕe	ɕe	TB	ɕ e
75	DirangTshangla	106_theknee	the knee	106_theknee	1371	gum+ziŋ	gum+ziŋ	TB	g u m + z i ŋ
19	DirangTshangla	110_late	late	110_late	477	jɛt+kʰan	jɛt+kʰan	TB	j ɛ t + kʰ a n
146	DirangTshangla	111_tolaugh	to laugh	111_tolaugh	1355	ŋar	ŋar	TB	ŋ a r
76	DirangTshangla	112_theleaf	the leaf	112_theleaf	628	ɕa+wa	ɕa+wa	TB	ɕ a + w a
20	DirangTshangla	114_left	left	114_left	244	jɔm+lak+pa	jɔm+lak+pa	TB	j ɔ m + l a k + p a
147	DirangTshangla	115_tolick	to lick	115_tolick	319	bɛn	bɛn	TB	b ɛ n
21	DirangTshangla	117_lightofweight	light (of weight)	117_lightofweight	1052	jaŋ+pu	jaŋ+pu	TB	j a ŋ + p u
77	DirangTshangla	119_theliver	the liver	119_theliver	1224	sa+sum	sa+sum	TB	s a + s u m
1	DirangTshangla	11_big	big	11_big	1202	taŋ+pu	taŋ+pu	TB	t a ŋ + p u
22	DirangTshangla	120_long	long	120_long	1203	riŋ+bu	riŋ+bu	TB	r i ŋ + b u
78	DirangTshangla	121_thelouse	the louse	121_thelouse	1392	ɕiŋ	ɕiŋ	TB	ɕ i ŋ
79	DirangTshangla	122_thelung	the lung	122_thelung	688	ɕo	ɕo	TB	ɕ o
80	DirangTshangla	123_themanmalehuman	the man (male human)	123_themanmalehuman	2106	soŋ+ŋa ʑan	soŋ+ŋa+ʑan	TB	s o ŋ + ŋ a + ʑ a n
23	DirangTshangla	124_many	many	124_many	1198	tɕa.tɕa	tɕa.tɕa	TB	tɕ a . tɕ a
81	DirangTshangla	126_themeat	the meat	126_themeat	634	ɕa	ɕa	TB	ɕ a
24	DirangTshangla	127_middle	middle	127_middle	1093	bar+ma	bar+ma	TB	b a r + m a
82	DirangTshangla	128_themoon	the moon	128_themoon	1313	la+ɲi	la+ɲi	TB	l a + ɲ i
25	DirangTshangla	129_morning	morning	129_morning	1339	ŋam+niŋ	ŋam+niŋ	TB	ŋ a m + n i ŋ
45	DirangTshangla	12_thebird	the bird	12_thebird	937	kʰa	kʰa	TB	kʰ a
83	DirangTshangla	132_themountain	the mountain	132_themountain	639	la	la	TB	l a
84	DirangTshangla	133_themouseorrat	the mouse or rat	133_themouseorrat	2139	tɕʰu	tɕʰu	TB	tɕʰ u
85	DirangTshangla	134_themouth	the mouth	134_themouth	674	no+waŋ	no+waŋ	TB	n o + w a ŋ
86	DirangTshangla	135_themud	the mud	135_themud	640	ʑin+tsʰaŋ	ʑin+tsʰaŋ	TB	ʑ i n + tsʰ a ŋ
87	DirangTshangla	136_thenailfingernailorclaw	the nail (fingernail or claw)	136_thenailfingernailorclaw	2128	tsiŋ+naŋ	tsiŋ+naŋ	TB	ts i ŋ + n a ŋ
88	DirangTshangla	137_thename	the name	137_thename	1405	miŋ	miŋ	TB	m i ŋ
26	DirangTshangla	139_near	near	139_near	1942	tɛp+ka	tɛp+ka	TB	t ɛ p + k a
127	DirangTshangla	13_tobite	to bite	13_tobite	1403	ŋam	ŋam	TB	ŋ a m
89	DirangTshangla	140_theneck	the neck	140_theneck	1333	ŋaŋ	ŋaŋ	TB	ŋ a ŋ
90	DirangTshangla	141_theneedleforsewing	the needle (for sewing)	141_theneedleforsewing	1382	kʰam	kʰam	TB	kʰ a m
27	DirangTshangla	142_new	new	142_new	1231	siŋ+ba	siŋ+ba	TB	s i ŋ + b a
28	DirangTshangla	143_nine	nine	143_nine	1483	gu	gu	TB	g u
91	DirangTshangla	146_thenose	the nose	146_thenose	1221	na+uŋ	na+uŋ	TB	n a + u ŋ
29	DirangTshangla	148_one	one	148_one	1493	tʰur	tʰur	TB	tʰ u r
2	DirangTshangla	14_black	black	14_black	163	ʨʰaŋ+lu	tʃʰaŋ+lu	TB	tʃ � a ŋ + l u
30	DirangTshangla	150_outside	outside	150_outside	762	psi+ka	psi+ka	TB	ps i + k a
92	DirangTshangla	151_thepig	the pig	151_thepig	1337	pʰak+pa	pʰak+pa	TB	pʰ a k + p a
148	DirangTshangla	153_toplay	to play	153_toplay	1413	ɲɛp	ɲɛp	TB	ɲ ɛ p
149	DirangTshangla	155_topush	to push	155_topush	1452	brʲɛk	brʲɛk	TB	b rʲ ɛ k
93	DirangTshangla	156_therain	the rain	156_therain	658	ŋam+tɕʰu	ŋam+tʃʰu	TB	ŋ a m + tʃ � u
31	DirangTshangla	158_red	red	158_red	156	tsʰa+lu	tsʰa+lu	TB	tsʰ a + l u
150	DirangTshangla	159_toresidelive	to reside (live)	159_toresidelive	363	ʨʰo	tʃʰo	TB	tʃ � o
46	DirangTshangla	15_theblood	the blood	15_theblood	946	ʑi	ʑi	TB	ʑ i
32	DirangTshangla	161_right	right	161_right	1019	pʰe+lu+tɕok	pʰe+lu+tɕok	TB	pʰ e + l u + tɕ o k
94	DirangTshangla	163_theroad	the road	163_theroad	667	lam	lam	TB	l a m
95	DirangTshangla	164_theroot	the root	164_theroot	670	ɕiŋ+ra	ɕiŋ+ra	TB	ɕ i ŋ + r a
96	DirangTshangla	165_therope	the rope	165_therope	1218	lan	lan	TB	l a n
33	DirangTshangla	166_round	round	166_round	1395	gɔr+gɔr+kei	gɔr+gɔr+kei	TB	g ɔ r + g ɔ r + k ei
97	DirangTshangla	168_thesalt	the salt	168_thesalt	1274	in+ʨʰa	in+tʃʰa	TB	i n + tʃ � a
98	DirangTshangla	170_thesand	the sand	170_thesand	671	be+ʦa	be+ʦa	TB	b e + ʦ a
