GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
swell		???	
awake		???	
big (thick, wide)	Sagart-2019-250-11	big	4
branch	Sagart-2019-250-19	the branch	4
dry	Sagart-2019-250-40	dry	2
fire	Sagart-2019-250-54	the fire	4
month		???	
fireplace		???	
smell (v)	Sagart-2019-250-189	to smell (perceive odor) [transitive]	3
spider	Sagart-2019-250-197	the spider	4
vomit	Sagart-2019-250-227	to vomit	4
pillow		???	
look, see	Sagart-2019-250-173	to see	4
storehouse, granary		???	
#<<<			
soft, smooth	Sagart-2019-250-194	soft	4
soft, smooth	Sagart-2019-250-191	smooth	4
#>>>			
insect		???	
thorn		???	
sweet		???	
liver/lungs	Sagart-2019-250-119	the liver	4
rainbow	Sagart-2019-250-157	the rainbow	4
gold		???	
garlic, onion		???	
excrete, defecate		???	
smoke (n.)	Sagart-2019-250-190	the smoke	3
flower	Sagart-2019-250-61	the flower	4
elbow		???	
skin	Sagart-2019-250-185	the skin	4
far	Sagart-2019-250-50	far	2
red	Sagart-2019-250-158	red	2
rub		???	
listen, hear	Sagart-2019-250-85	to hear	4
that (lower)	Sagart-2019-250-208	that	4
tired		???	
dirty	Sagart-2019-250-36	dirty	2
walk	Sagart-2019-250-228	to walk	4
2SG		???	
cane; rope	Sagart-2019-250-165	the rope	4
eat	Sagart-2019-250-46	to eat	4
friend		???	
soil		???	
bamboo (big)	Sagart-2019-250-6	the bamboo	4
spicy		???	
water	Sagart-2019-250-229	the water	4
deep		???	
die	Sagart-2019-250-34	to die	4
meat	Sagart-2019-250-126	the meat	4
five	Sagart-2019-250-57	five	2
sugarcane		???	
heavy	Sagart-2019-250-87	heavy	2
knife	Sagart-2019-250-107	knife	2
pestle		???	
elder brother		???	
full	Sagart-2019-250-73	full	2
where	Sagart-2019-250-234	where	2
younger sibling		???	
excrement		???	
spittle		???	
think	Sagart-2019-250-213	to think (reflect)	4
star	Sagart-2019-250-200	the star	4
thread		???	
have; exist		???	
revenge		???	
ant	Sagart-2019-250-3	the ant	4
fight	Sagart-2019-250-53	to fight	4
sago palm		???	
body		???	
hard	Sagart-2019-250-82	hard	2
do		???	
tongue	Sagart-2019-250-222	the tongue	4
dream	Sagart-2019-250-38	the dream	4
hundred	Sagart-2019-250-98	hundred	2
sell		???	
this	Sagart-2019-250-214	this	2
heart	Sagart-2019-250-86	the heart	4
boil (water)		???	
salt	Sagart-2019-250-168	the salt	4
seed	Sagart-2019-250-174	the seed	4
straight	Sagart-2019-250-204	straight	2
(swidden) field		???	
put		???	
grass	Sagart-2019-250-77	the grass	4
ten	Sagart-2019-250-207	ten	2
aconite		???	
that	Sagart-2019-250-208	that	2
human		???	
tail	Sagart-2019-250-206	the tail	4
copula		???	
bow		???	
live, grow up		???	
mountain	Sagart-2019-250-132	the mountain	4
lick	Sagart-2019-250-115	to lick	4
back		???	
who	Sagart-2019-250-236	who	2
split		???	
light	Sagart-2019-250-117	light (of weight)	4
with		???	
nine	Sagart-2019-250-143	nine	2
bear		???	
vegetable		???	
pull	Sagart-2019-250-154	to pull	4
snow	Sagart-2019-250-193	the snow	4
round	Sagart-2019-250-166	round	2
otter	Sagart-2019-250-149	the otter	4
